source,date,uka_code,code,site,pm10,pm10_capture,pm2.5,pm2.5_capture,latitude,longitude,site_type
aurn,2015-01-01T00:00:00Z,UKA00524,YK11,York Fishergate,18.492449,0.729839,14.070348,0.888441,53.951889,-1.075861,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00399,ABD,Aberdeen,15.21874,0.94494,12.930637,0.864583,57.15736,-2.094278,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00451,ACTH,Auchencorth Moss,7.25018,0.88244,3.879862,0.864583,55.79216,-3.2429,Rural Background
aurn,2015-02-01T00:00:00Z,UKA00559,AGRN,Birmingham Acocks Green,NA,NA,13.33503,0.994048,52.437165,-1.829999,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00541,ARM6,Armagh Roadside,18.336792,0.157738,NA,NA,54.353728,-6.654558,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00594,BEL1,Belfast Stockman's Lane,25.05405,0.897321,NA,NA,54.572586,-5.974944,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00212,BEL2,Belfast Centre,17.770134,0.886905,12.254181,0.889881,54.59965,-5.928833,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00238,BEX,London Bexley,NA,NA,12.422967,0.933036,51.46603,0.184806,Suburban Background
aurn,2015-02-01T00:00:00Z,UKA00479,BIR1,Birmingham Tyburn,17.258761,0.985119,13.008194,0.980655,52.511722,-1.830583,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00543,BIRT,Birmingham Tyburn Roadside,21.893243,0.991071,14.593881,0.997024,52.512194,-1.830861,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00488,BLC2,Blackpool Marton,NA,NA,18.242712,0.438988,53.80489,-3.007175,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00574,BPLE,Barnstaple A39,21.717812,0.952381,11.980896,0.997024,51.074793,-4.041924,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00494,BRS8,Bristol St Paul's,18.527232,1,14.610119,1,51.462839,-2.584482,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00259,CA1,Camden Kerbside,28.398369,0.912202,15.550492,0.907738,51.544233,-0.175228,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00217,CARD,Cardiff Centre,15.303053,0.389881,8.373892,0.302083,51.48178,-3.17625,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00526,CARL,Carlisle Roadside,19.687113,0.866071,12.289788,0.772321,54.894834,-2.945307,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00553,CHAT,Chatham Roadside,19.976342,0.748512,12.264137,0.784226,51.374264,0.54797,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00515,CHP,Chepstow A48,20.2,0.078869,12.141742,0.991071,51.638094,-2.678731,Urban Traffic
